repo_url,repo_name,owner,full_name,stars,size_kb,language,description,last_updated,frameworks,matched_patterns,api_url,has_openapi,has_swagger,has_validators,validator_libraries,has_typescript
https://github.com/Arv8nn/a8,a8,Arv8nn,Arv8nn/a8,4,404,Shell,serv00 sing-box/socks5/MTproxy,2025-06-16T22:12:00Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/Arv8nn/a8,False,False,False,,False
https://github.com/darshan15062002/Ecommerse-React_native,Ecommerse-React_native,darshan15062002,darshan15062002/Ecommerse-React_native,4,7472,JavaScript,,2024-04-22T07:44:12Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/darshan15062002/Ecommerse-React_native,False,False,False,,False
https://github.com/heatherbooker/graphmarks,graphmarks,heatherbooker,heatherbooker/graphmarks,4,2435,HTML,graphmarks is a fun and interactive graph-based visualization tool for your personal bookmarks or subject-related lists of links.,2020-05-26T02:08:27Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/heatherbooker/graphmarks,False,False,False,,False
https://github.com/AAI-USZ/APR22-JS-GPT,APR22-JS-GPT,AAI-USZ,AAI-USZ/APR22-JS-GPT,4,16506,JavaScript,,2024-05-13T02:12:58Z,Express,"language:JavaScript ""app.get("" | language:JavaScript ""app.get(""",https://api.github.com/repos/AAI-USZ/APR22-JS-GPT,False,False,False,,False
https://github.com/9inpachi/notes,notes,9inpachi,9inpachi/notes,4,51113,C++,Notes for different things I learn,2025-10-12T15:17:03Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/9inpachi/notes,False,False,False,,False
https://github.com/AnthonyBronca/2024-07-cohort-notes,2024-07-cohort-notes,AnthonyBronca,AnthonyBronca/2024-07-cohort-notes,4,1591,JavaScript,,2025-04-23T05:03:07Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/AnthonyBronca/2024-07-cohort-notes,False,False,False,,False
https://github.com/BeholderDEV/NyaChan,NyaChan,BeholderDEV,BeholderDEV/NyaChan,3,39845,JavaScript,Nyarlathotep is here!!!,2020-09-26T02:32:12Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/BeholderDEV/NyaChan,False,False,False,,False
https://github.com/rastogiji/recaptcha-enterprise,recaptcha-enterprise,rastogiji,rastogiji/recaptcha-enterprise,3,105,JavaScript,,2024-12-30T13:10:59Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/rastogiji/recaptcha-enterprise,False,False,False,,False
https://github.com/rafaelhaertel/HomeCenter,HomeCenter,rafaelhaertel,rafaelhaertel/HomeCenter,3,443,JavaScript,An app that controls your house,2021-02-03T14:40:18Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/rafaelhaertel/HomeCenter,False,False,False,,False
https://github.com/tinchoforever/sensor-journalism-kit-hhba,sensor-journalism-kit-hhba,tinchoforever,tinchoforever/sensor-journalism-kit-hhba,3,71036,CSS,Starter Kit para tomar datos en tiempo real con Arduino usando Socket.Io y D3.  http://lanyrd.com/2014/hhba/sddccq/,2015-07-28T05:24:18Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/tinchoforever/sensor-journalism-kit-hhba,False,False,False,,False
https://github.com/codemzy/mongodb-m101js,mongodb-m101js,codemzy,codemzy/mongodb-m101js,3,18550,JavaScript,M101JS: MongoDB for Node.js Developers,2017-07-15T18:23:15Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/codemzy/mongodb-m101js,False,False,False,,False
https://github.com/rashidmajeed/fullstack-todos,fullstack-todos,rashidmajeed,rashidmajeed/fullstack-todos,3,2330,JavaScript,This is a MERN fullstack todos app. It has complete REST api backend with nodejs and mongodb.  client side developed with the reactjs components. ,2019-01-09T23:57:29Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/rashidmajeed/fullstack-todos,False,False,False,,False
https://github.com/prabinb50/Foodu-Food-And-Restaurant,Foodu-Food-And-Restaurant,prabinb50,prabinb50/Foodu-Food-And-Restaurant,3,2885,JavaScript,This repository contains all the code (MERN Stack) used in the development of Foodu_Food_And_Restaurant.,2025-08-12T08:02:54Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/prabinb50/Foodu-Food-And-Restaurant,False,False,False,,False
https://github.com/caiolara090/Joses_Burger,Joses_Burger,caiolara090,caiolara090/Joses_Burger,3,4526,Dart,Trabalho referente à disciplina Engenharia de Software da UFMG.,2025-09-19T09:51:54Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/caiolara090/Joses_Burger,False,False,False,,False
https://github.com/Globik/sex_for_many,sex_for_many,Globik,Globik/sex_for_many,3,13896,JavaScript,"A site of video translations on demand based on WebRTC MediaRecorder API, node.js, koa.js, BTC smart contract as tokens, postgreSQL. Vanilla.js on frontend.",2022-01-10T21:23:40Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/Globik/sex_for_many,False,False,False,,False
https://github.com/pbinkley/spalatum,spalatum,pbinkley,pbinkley/spalatum,3,8876,JavaScript,A simple personal digital archive system that can survive the fall of the Roman Empire,2022-04-02T20:17:46Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/pbinkley/spalatum,False,False,False,,False
https://github.com/nko2/h4ck-n-sl4sh,h4ck-n-sl4sh,nko2,nko2/h4ck-n-sl4sh,3,1017,JavaScript,,2019-07-14T17:21:06Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/nko2/h4ck-n-sl4sh,False,False,False,,False
https://github.com/Savalone47/node-express-mongodb-server,node-express-mongodb-server,Savalone47,Savalone47/node-express-mongodb-server,3,3253,JavaScript,REST APIs are used to access and manipulate data using a common set of stateless operations. These operations are integral to the HTTP,2022-09-06T23:14:41Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/Savalone47/node-express-mongodb-server,False,False,False,,False
https://github.com/Orgensthe/CUE,CUE,Orgensthe,Orgensthe/CUE,2,42969,JavaScript,,2022-02-19T15:49:54Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/Orgensthe/CUE,False,False,False,,False
https://github.com/green-fox-academy/gulyaasjaanos,gulyaasjaanos,green-fox-academy,green-fox-academy/gulyaasjaanos,2,15962,CSS,,2020-05-29T18:39:56Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/green-fox-academy/gulyaasjaanos,False,False,False,,True
https://github.com/Xorazm92/zufariy.uz,zufariy.uz,Xorazm92,Xorazm92/zufariy.uz,2,14838,JavaScript,,2025-08-21T17:59:54Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/Xorazm92/zufariy.uz,False,False,True,ajv,False
https://github.com/HX-MLuquez/76615-Backend-I,76615-Backend-I,HX-MLuquez,HX-MLuquez/76615-Backend-I,2,1172,JavaScript,,2025-11-11T01:35:51Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/HX-MLuquez/76615-Backend-I,False,False,False,,False
https://github.com/Mr-Nobody003/P-R-A-V-A-H-Hackathon,P-R-A-V-A-H-Hackathon,Mr-Nobody003,Mr-Nobody003/P-R-A-V-A-H-Hackathon,2,15287,JavaScript,,2025-09-15T20:01:40Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/Mr-Nobody003/P-R-A-V-A-H-Hackathon,False,False,False,,False
https://github.com/omidam81/betcoin,betcoin,omidam81,omidam81/betcoin,2,97549,JavaScript,,2021-01-21T05:40:01Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/omidam81/betcoin,False,False,False,,False
https://github.com/OETBoston/ai-for-design,ai-for-design,OETBoston,OETBoston/ai-for-design,2,35057,JavaScript,Google Summer of Code 2023: Final Project,2025-06-20T03:40:34Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/OETBoston/ai-for-design,False,False,False,,False
https://github.com/buddycloud/opengraph-proxy,opengraph-proxy,buddycloud,buddycloud/opengraph-proxy,2,1200,JavaScript,Open graph proxy,2019-07-23T06:11:03Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/buddycloud/opengraph-proxy,False,False,False,,False
https://github.com/dreamcareer7/real-estate-server,real-estate-server,dreamcareer7,dreamcareer7/real-estate-server,2,41419,PLpgSQL,"Real Estate Platform Server (Node.js, Postgres, Postgis, RabbitMQ, Redis)",2025-09-18T18:56:49Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/dreamcareer7/real-estate-server,False,False,False,,True
https://github.com/Sizwe780/azora-os,azora-os,Sizwe780,Sizwe780/azora-os,2,45059,TypeScript,,2025-11-13T09:10:57Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/Sizwe780/azora-os,False,False,False,,True
